epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g
1,10/29 00:30:26,3106,-83957.22357073938,-0.07900384813547134,-0.055322758853435516,14.990888453298982
2,10/29 00:30:35,1654,-107537.7558712601,0.13446585834026337,-0.0765114277601242,26.48884171013516
3,10/29 00:30:45,2047,-102879.23391064917,0.07916509360074997,0.10706566274166107,5.975094152857843
4,10/29 00:30:51,1017,-95885.16342241246,0.043803874403238297,0.02470880001783371,26.467128426767527
5,10/29 00:30:55,597,-111928.78674377936,-0.01688089221715927,-0.09309118986129761,28.51586835146232
6,10/29 00:31:05,1354,-92724.88685480403,0.08608737587928772,-0.03431382402777672,6.038963994686666
7,10/29 00:31:11,635,-106792.33298862129,-0.05202241986989975,-0.10933822393417358,10.04965324404201
8,10/29 00:31:21,1424,-90776.71562833317,-0.023963790386915207,0.02059827744960785,6.138232062475835
9,10/29 00:31:25,780,-110284.46475687239,0.06607691943645477,0.05091584101319313,20.339878856817474
10,10/29 00:31:29,627,-107473.2286178114,0.0741947740316391,-0.10094369202852249,29.021614800458167
11,10/29 00:31:34,845,-109851.82902291522,0.11876930296421051,-0.025393906980752945,19.883184690544557
12,10/29 00:31:38,692,-100646.66247120127,-0.026264648884534836,0.10117767751216888,13.78476333871682
13,10/29 00:31:45,1109,-107259.14216627472,0.11859799176454544,0.06585459411144257,9.9748858051019
14,10/29 00:31:48,508,-102320.13407494116,-0.06702267378568649,0.013790429569780827,16.5317780061817
16,10/29 00:48:42,2233,-95371.36404311098,0.04719490930438042,-0.030160430818796158,27.739330776411055
17,10/29 00:48:46,466,-105118.99284628857,0.07716905325651169,-0.029877789318561554,24.925584467858
18,10/29 00:48:51,756,-117734.83889757244,-0.019559454172849655,0.048246826976537704,7.791319126647154
19,10/29 00:49:00,1104,-173333.29581899708,-0.044342849403619766,-0.07673203945159912,5.214963784732141
20,10/29 00:49:03,498,-102774.72766798259,0.026749465614557266,0.09572708606719971,16.325539989835722
21,10/29 00:49:08,526,-105834.73070031533,0.009963354095816612,0.038934413343667984,20.21475161924913
22,10/29 00:49:14,651,-115138.56359149193,-0.10709179192781448,0.0008796290494501591,29.854463320161734
23,10/29 00:49:20,680,-122965.46714907451,-0.10937228798866272,0.06204182654619217,4.600820774817125
24,10/29 00:49:23,270,-101187.12241919056,0.13526391983032227,-0.10396301746368408,21.9006242820552
25,10/29 00:49:25,274,-103989.8820242762,-0.07636672258377075,0.12976190447807312,9.026853080226129
26,10/29 00:49:27,289,-103457.57147266659,0.015415024943649769,0.12752628326416016,15.87111549329
27,10/29 00:49:31,722,-114348.46145184804,0.041337642818689346,-0.13608287274837494,15.243553845134757
28,10/29 00:49:35,609,-104844.85473023879,0.005923266056925058,-0.052815500646829605,22.889322829065296
29,10/29 00:49:39,603,-117146.96300311749,-0.1336112767457962,0.043553825467824936,16.688909120158428
30,10/29 00:49:45,647,-109000.62548227854,-0.041513558477163315,-0.016368383541703224,25.687995842223835
31,10/29 00:49:49,315,-102223.38554001153,0.11294399946928024,0.017037075012922287,26.62925769410274
32,10/29 00:49:52,354,-104225.95586495563,-0.047181159257888794,0.10549699515104294,25.929940999007712
33,10/29 00:49:56,400,-105489.6773532746,0.03370736166834831,0.09448355436325073,11.088458514708243
34,10/29 00:50:03,660,-113372.09682561073,-0.1352512538433075,-0.013002799823880196,15.004588094515798
35,10/29 00:50:06,310,-103894.8576720515,0.12458360195159912,0.019814200699329376,9.573915286836387
36,10/29 00:50:10,360,-104831.96612300703,0.12041311711072922,0.04495170712471008,4.83958845630492
37,10/29 00:50:14,422,-103903.62551570444,-0.02538059465587139,0.08488476276397705,22.003843397714412
38,10/29 00:50:16,223,-102666.87442109719,0.08506280928850174,0.13410696387290955,24.697265032498812
39,10/29 00:50:20,424,-103407.59248171572,-0.09862691164016724,0.08255009353160858,20.130468336742997
40,10/29 00:50:24,588,-113650.31093375912,-0.12961815297603607,0.01837257295846939,15.859952557209727
41,10/29 00:50:31,718,-108641.94064520214,-0.052329596132040024,-0.07352917641401291,27.13277296354504
42,10/29 00:50:36,445,-102619.13672285918,0.0007102694362401962,0.07716969400644302,12.612928084616483
43,10/29 00:50:42,675,-144757.11086759868,-0.008802802301943302,0.03927269205451012,2.529814728573162
44,10/29 00:50:48,684,-101996.74068879147,-0.03197723999619484,-0.0921415388584137,22.393425163303856
45,10/29 00:50:52,460,-99287.00192359765,0.08056178689002991,-0.07529539614915848,21.633703807501714
46,10/29 00:50:58,588,-104691.36479014409,-0.06829173862934113,0.015015358105301857,19.08051864236155
47,10/29 00:51:02,483,-112153.72795399283,-0.0027583902701735497,0.07785418629646301,4.920552418018588
48,10/29 00:51:09,686,-113689.56013304133,-0.012351184152066708,-0.11325814574956894,7.7602433289577935
49,10/29 00:51:12,456,-107056.26294570087,-0.10401814430952072,0.07335203140974045,25.66248080918896
50,10/29 00:51:17,556,-101933.3100631296,0.027373502030968666,0.0241964440792799,23.605614898880077
