epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g,terminated,truncated,total_reward_per_L1_dist
1,10/29 14:34:38,3882,10918.650923823767,0.025999750941991806,-0.04011683538556099,24.68004092882135,True,False,773435.3125
2,10/29 14:35:07,5000,2002.8844275682086,0.08063127100467682,-0.02101895958185196,16.667428751003886,False,True,33598.50390625
3,10/29 14:35:50,5000,39698.72725132201,-0.026099516078829765,0.08718445897102356,25.49630821406867,False,True,649893.8125
4,10/29 14:36:29,5000,51965.08860400097,-0.0007459534099325538,-0.1182880774140358,18.625003836523717,False,True,436556.59375
5,10/29 14:37:00,5000,5557.187195374965,-0.003925147000700235,-0.10211801528930664,28.79233077877954,False,True,52404.953125
6,10/29 14:37:55,4676,-173.5647970321602,0.1050112172961235,0.022892389446496964,4.65890867232268,True,False,-1356.9969482421875
7,10/29 14:38:17,3498,26081.375869342795,0.03828844055533409,-0.006538681220263243,4.519048469051239,True,False,821466.875
8,10/29 14:38:53,4332,165543.39279532142,-0.08466047793626785,-0.024661807343363762,11.359448287385069,True,False,1514269.375
9,10/29 14:39:36,3349,198736.4642058915,0.01928313821554184,-0.015193771570920944,1.8151645244630383,True,False,48598348.0
10,10/29 14:40:45,4949,92148.07940764091,0.10622823983430862,0.09783659130334854,3.9732690198032925,True,False,451562.75
11,10/29 14:41:44,4227,125900.01008670298,0.022979501634836197,0.08468333631753922,13.542566224700614,True,False,1169391.5
12,10/29 14:42:37,3811,149847.69013621946,-0.026248907670378685,0.014075229875743389,5.185473184368991,True,False,12309155.0
13,10/29 14:43:32,5000,116833.98129904797,0.1358233243227005,0.06336412578821182,1.5862399754060137,False,True,586552.9375
14,10/29 14:44:27,5000,97160.61917284955,0.055224187672138214,0.11822396516799927,26.258633335657066,False,True,560171.0
15,10/29 14:45:16,5000,71761.03999948292,0.08677748590707779,-0.13255110383033752,11.9093838639527,False,True,1567738.0
16,10/29 14:46:21,4774,29239.90650114189,-0.08066222816705704,0.023068156093358994,21.718236913993366,True,False,507689.5
17,10/29 14:47:39,5000,4484.0795923995165,-0.008155275136232376,0.13454791903495789,24.981423014505392,False,True,35477.375
18,10/29 14:48:48,5000,148330.21655560017,0.08847202360630035,-0.09757980704307556,3.3077777985559105,False,True,16286094.0
19,10/29 14:49:58,5000,92005.3071825471,-0.12196489423513412,0.08966615796089172,13.80741741346058,False,True,2848573.0
