trial_id,total_reward,config
0,10918.650923823767,SimulationConfig(dt=0.001, eta=0.001, seed=None, T=1, epsilon_start=0, epsilon_end=0.5, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=100, sigma=1, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=4.0, t_pkj=2.0, integral_decay=16.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=10000, penalize_failure_per_sec=10000, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_decay=8.0, motor_damping=3.0, motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.005, motor_window_len=5, use_ema=False, ema_alpha=0.5)
0,2002.8844275682086,SimulationConfig(dt=0.001, eta=0.001, seed=None, T=1, epsilon_start=0, epsilon_end=0.5, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=100, sigma=1, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=4.0, t_pkj=2.0, integral_decay=16.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=10000, penalize_failure_per_sec=10000, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_decay=8.0, motor_damping=3.0, motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.005, motor_window_len=5, use_ema=False, ema_alpha=0.5)
0,39698.72725132201,SimulationConfig(dt=0.001, eta=0.001, seed=None, T=1, epsilon_start=0, epsilon_end=0.5, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=100, sigma=1, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=4.0, t_pkj=2.0, integral_decay=16.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=10000, penalize_failure_per_sec=10000, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_decay=8.0, motor_damping=3.0, motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.005, motor_window_len=5, use_ema=False, ema_alpha=0.5)
0,51965.08860400097,SimulationConfig(dt=0.001, eta=0.001, seed=None, T=1, epsilon_start=0, epsilon_end=0.5, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=100, sigma=1, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=4.0, t_pkj=2.0, integral_decay=16.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=10000, penalize_failure_per_sec=10000, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_decay=8.0, motor_damping=3.0, motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.005, motor_window_len=5, use_ema=False, ema_alpha=0.5)
0,5557.187195374965,SimulationConfig(dt=0.001, eta=0.001, seed=None, T=1, epsilon_start=0, epsilon_end=0.5, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=100, sigma=1, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=4.0, t_pkj=2.0, integral_decay=16.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=10000, penalize_failure_per_sec=10000, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_decay=8.0, motor_damping=3.0, motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.005, motor_window_len=5, use_ema=False, ema_alpha=0.5)
0,-173.5647970321602,SimulationConfig(dt=0.001, eta=0.001, seed=None, T=1, epsilon_start=0, epsilon_end=0.5, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=100, sigma=1, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=4.0, t_pkj=2.0, integral_decay=16.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=10000, penalize_failure_per_sec=10000, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_decay=8.0, motor_damping=3.0, motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.005, motor_window_len=5, use_ema=False, ema_alpha=0.5)
0,26081.375869342795,SimulationConfig(dt=0.001, eta=0.001, seed=None, T=1, epsilon_start=0, epsilon_end=0.5, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=100, sigma=1, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=4.0, t_pkj=2.0, integral_decay=16.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=10000, penalize_failure_per_sec=10000, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_decay=8.0, motor_damping=3.0, motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.005, motor_window_len=5, use_ema=False, ema_alpha=0.5)
0,165543.39279532142,SimulationConfig(dt=0.001, eta=0.001, seed=None, T=1, epsilon_start=0, epsilon_end=0.5, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=100, sigma=1, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=4.0, t_pkj=2.0, integral_decay=16.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=10000, penalize_failure_per_sec=10000, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_decay=8.0, motor_damping=3.0, motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.005, motor_window_len=5, use_ema=False, ema_alpha=0.5)
0,198736.4642058915,SimulationConfig(dt=0.001, eta=0.001, seed=None, T=1, epsilon_start=0, epsilon_end=0.5, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=100, sigma=1, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=4.0, t_pkj=2.0, integral_decay=16.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=10000, penalize_failure_per_sec=10000, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_decay=8.0, motor_damping=3.0, motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.005, motor_window_len=5, use_ema=False, ema_alpha=0.5)
0,92148.07940764091,SimulationConfig(dt=0.001, eta=0.001, seed=None, T=1, epsilon_start=0, epsilon_end=0.5, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=100, sigma=1, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=4.0, t_pkj=2.0, integral_decay=16.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=10000, penalize_failure_per_sec=10000, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_decay=8.0, motor_damping=3.0, motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.005, motor_window_len=5, use_ema=False, ema_alpha=0.5)
0,125900.01008670298,SimulationConfig(dt=0.001, eta=0.001, seed=None, T=1, epsilon_start=0, epsilon_end=0.5, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=100, sigma=1, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=4.0, t_pkj=2.0, integral_decay=16.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=10000, penalize_failure_per_sec=10000, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_decay=8.0, motor_damping=3.0, motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.005, motor_window_len=5, use_ema=False, ema_alpha=0.5)
