epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g
1,10/27 10:24:54,10000,-514745.47852489364,0.06633904043637888,0.02461850429210322,
2,10/27 10:27:49,10000,-502626.03207306773,-0.010923670353304568,-0.08416622951275561,
3,10/27 10:27:58,776,-159142.32304289445,0.10132029808509174,-0.15003045254179861,
4,10/27 10:30:25,9365,-1288837.9952515669,0.009412195341911527,0.15000588425212244,
5,10/27 10:32:33,10000,-1382524.367206699,0.06048788078668635,-0.08371371160980513,
6,10/27 10:32:47,789,-148759.5033551202,-0.15009248462501112,-0.0003362052810236562,
7,10/27 10:33:01,755,-72484.19265341357,0.03443903530657233,-0.15030073870570715,
8,10/27 10:33:26,1378,-110041.23606588105,-0.02197383011133187,-0.1500989478412989,
9,10/27 10:33:33,356,-66982.61684078473,0.1500345565704284,0.058348789902068245,
10,10/27 10:33:47,728,-41979.93477765184,0.008149729924909128,-0.15004059416536875,
11,10/27 10:33:52,296,-51177.33034246273,-0.013991117195359476,0.15006318733172172,
