epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g,terminated,truncated,total_reward_per_L1_dist
1,10/29 17:16:00,2647,-116942.78136161776,-0.12305635213851929,0.09027015417814255,29.498654977846353,False,True,-3566829.5
2,10/29 17:16:44,7239,-229071.46658922354,0.0050127701833844185,-0.04927324131131172,8.16055471563268,False,True,-5175531.5
3,10/29 17:17:59,10000,-139082.89783842373,0.03606420382857323,-0.046701136976480484,17.28675576513564,False,True,-13075469.0
4,10/29 17:18:24,4883,564836.6720395287,0.10050270706415176,-0.03504453971982002,1.0553473182503026,True,False,8628972.0
5,10/29 17:18:34,2043,-131310.31451379103,-0.06771738827228546,0.08322584629058838,17.505369760901786,False,True,-8467013.0
6,10/29 17:18:59,3090,-125217.69277232478,-0.015915222465991974,0.11879071593284607,12.434077080872637,False,True,-1217177.125
7,10/29 17:20:12,10000,494835.20277354127,-0.08538852632045746,0.033705540001392365,7.801660656374135,False,True,9574431.0
8,10/29 17:21:04,3872,-149989.72594297995,0.13971374928951263,0.02330966852605343,8.227914844543413,False,True,-920050.1875
9,10/29 17:21:33,5957,521579.41682897316,0.04294869676232338,-0.12189142405986786,2.665048018222425,True,False,6607060.5
10,10/29 17:21:54,4182,-131234.3725792211,0.13215863704681396,-0.03420661762356758,14.388407337977533,False,True,-1339782.125
11,10/29 17:22:33,7610,40242.54030577077,0.007246540859341621,-0.005868205334991217,27.02704166796122,True,False,29196476.0
12,10/29 17:22:39,1165,-124205.17826851283,0.007892688736319542,0.08874519169330597,7.162467284460264,False,True,-1285263.875
13,10/29 17:22:46,1167,-126882.00499669512,0.06602013111114502,0.0456068255007267,4.6313836223789435,False,True,-1136661.0
14,10/29 17:23:34,10000,130596.4428865398,-0.04826755076646805,0.10825109481811523,1.9432350366317428,False,True,2177204.5
15,10/29 17:24:03,6006,-146889.86013257585,0.08194028586149216,0.04272815212607384,26.384011951972774,False,True,-1178244.25
16,10/29 17:24:16,2788,-114380.2671770716,0.1332673579454422,-0.1315283328294754,5.854764487382391,False,True,-65772636.0
17,10/29 17:24:39,4514,-115422.77407278956,0.03267713263630867,0.11354175955057144,21.481245913987205,False,True,-789383.4375
18,10/29 17:24:48,1748,-101904.87673819377,0.04889529198408127,0.07198850810527802,12.497025374701591,False,True,-842998.625
