epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g
1,10/25 17:54:37,50.687,-32598.325467375358,nan,nan,
2,10/25 17:55:27,50.401,-362606.6138182622,nan,nan,
3,10/25 17:56:01,33.509,-252027.97789202322,nan,nan,
4,10/25 17:56:57,56.104,-257312.63319211913,nan,nan,
5,10/25 17:57:11,13.455,-283730.048019044,nan,nan,
6,10/25 17:58:04,53.241,-197136.06829869305,nan,nan,
7,10/25 17:59:01,56.504,-220165.7760889536,nan,nan,
8,10/25 17:59:57,55.891,-373857.8751193927,nan,nan,
9,10/25 18:00:52,55.392,-539416.6152386032,nan,nan,
10,10/25 18:01:57,64.695,-684334.347664094,nan,nan,
11,10/25 18:02:09,11.459,-185367.62356710556,nan,nan,
12,10/25 18:02:34,25.532,-336302.6326628601,nan,nan,
13,10/25 18:03:36,61.187,-37254.805888479015,nan,nan,
14,10/25 18:04:14,37.795,-643249.7626123655,nan,nan,
15,10/25 18:04:56,42.371,-406768.525654196,nan,nan,
16,10/25 18:06:02,65.829,-754866.9065588358,nan,nan,
17,10/25 18:07:04,61.384,-1295631.596874975,nan,nan,
18,10/25 18:08:06,62.383,-8724.997014290146,nan,nan,
19,10/25 18:08:17,10.416,-193821.62324470998,nan,nan,
20,10/25 18:09:23,66.066,-51002.25759513589,nan,nan,
21,10/25 18:09:54,31.19,-594216.3558607626,nan,nan,
22,10/25 18:10:19,25.155,-373042.0387806842,nan,nan,
23,10/25 18:11:23,63.47,-56015.49919941559,nan,nan,
24,10/25 18:12:26,62.624,-990225.7051592978,nan,nan,
25,10/25 18:13:26,59.667,-28210.90695043251,nan,nan,
26,10/25 18:14:33,66.691,-593073.2769510095,nan,nan,
27,10/25 18:15:37,64.08,-841947.9848608604,nan,nan,
28,10/25 18:16:42,64.633,-293877.7930931422,nan,nan,
29,10/25 18:17:48,66.617,-798361.8085735857,nan,nan,
30,10/25 18:18:44,55.684,-15760.010744731515,nan,nan,
31,10/25 18:19:45,60.62,-815970.0423356527,nan,nan,
32,10/25 18:21:13,88.421,-4925.992056926747,nan,nan,
33,10/25 18:22:29,75.025,-416329.64256423136,nan,nan,
34,10/25 18:23:21,51.938,-172046.08183755307,nan,nan,
35,10/25 18:25:26,125.623,-1143794.636224136,nan,nan,
36,10/25 18:27:10,103.375,-205991.08338786065,nan,nan,
37,10/25 18:28:45,94.982,-4386.193003331706,nan,nan,
38,10/25 18:30:41,116.212,-737745.531931733,nan,nan,
39,10/25 18:35:42,300.829,-29555.512677035913,nan,nan,
1,10/27 03:10:54,40.485,-60338.059025652365,nan,nan,
2,10/27 03:11:43,48.156,-342330.85163450125,nan,nan,
3,10/27 03:13:05,82.668,-403813.02426643774,nan,nan,
4,10/27 03:13:13,7.375,-92554.63507143082,nan,nan,
5,10/27 03:13:19,6.199,-122057.09304176147,nan,nan,
6,10/27 03:14:27,67.711,-1061147.5820125418,nan,nan,
7,10/27 03:14:42,14.446,-147117.40587759236,nan,nan,
1,10/27 03:17:08,72.569,-860084.440156132,nan,nan,
2,10/27 03:18:48,99.219,-418006.78210205684,nan,nan,
3,10/27 03:20:27,99.282,-908886.0201714665,nan,nan,
4,10/27 03:21:59,92.028,-45813.1603930006,nan,nan,
5,10/27 03:22:13,13.371,-210148.59059250768,nan,nan,
6,10/27 03:22:43,29.844,142.07558617857768,nan,nan,
1,10/27 03:24:22,79.651,-352436.90972198406,nan,nan,
2,10/27 03:26:21,119.53,-505060.72030947095,nan,nan,
3,10/27 03:26:46,24.156,-228042.17313788866,nan,nan,
4,10/27 03:28:58,132.066,-1606872.4919720409,nan,nan,
5,10/27 03:29:28,30.044,-222898.93597610467,nan,nan,
6,10/27 03:30:05,37.2,-300954.6382447005,nan,nan,
7,10/27 03:30:30,24.269,-258404.4884916815,nan,nan,
